Category,Keywords
Miscellaneous,rety
Transport,AUTO
Entertainment,TUNES
Entertainment,ITUNES
Entertainment,netflix
Food,eat
Food,cafe
Groceries,fruit
Health, HOSPITAL
Health,medplus
Health,pharma
Health,medicity
Health,SAKRA WORLD
Health,medical 
Health,HOSPITAL
Health,H R MEDICAL
Housing,RENT
Housing,HOUSE
Personal Care,hair
Phone & Internet,mtn
Utilities,light
Investment,hrm
Overdraft Repayment,interest
Savings,ref
Transfer,jiy
Atm withdrawal,koy
Gift & Donation,key
Online Transaction,
Payment link,you
Shopping,westside
Shopping,EASY
Shopping,shopping
Shopping,mart
Travel,flight
Education,book
Betting,sport
Tax,Tax
Bank Charges,charge
